,,,Jeans - Colored denim,,,,,,,,,,Jeans - Wide-leg,,,,,,,,,,Jeans - High-rise,,,,,,,,,,,,
For each SKU,Date,Day of the Week,Shelf Spaces,Items Sold,Average Price,Markdown,Clearance,Discount,Sales,Variable cost/unit,Inventory & Shelving/unit,Profit,Shelf Spaces,Items Sold,Average Price,Markdown,Clearance,Discount,Sales,Variable cost/unit,Inventory & Shelving Cost/unit,Profit,Shelf Spaces,Items Sold,Average Price,Markdown,Clearance,Discount,Sales,Variable cost/unit,Inventory & Shelving/unit,Profit,,,
# of stores,1/1/2017,M,20, 642 ,$40.00 ,0,0,0,"$25,687 ",$12.50 ,$0.86 ,"$17,106 ",30, 964 ,$48.00 ,0,0,0,"$46,273 ",$22.00 ,$0.92 ,"$24,182 ",10," 1,186 ",$41.25 ,1,0,0,"$48,921 ",$22.60 ,$0.94 ,"$20,999 ",,,
# of shelfs,1/2/2017,T,30, 631 ,$30.00 ,1,0,0,"$18,943 ",$12.50 ,$0.86 ,"$10,507 ",10, 236 ,$48.00 ,0,0,0,"$11,345 ",$22.00 ,$0.73 ,"$5,973 ",20," 2,969 ",$22.00 ,0,1,0,"$65,317 ",$22.60 ,$1.07 ,"($4,947)",,,
Items sold,1/3/2017,W,10," 1,636 ",$16.00 ,0,1,0,"$26,182 ",$12.50 ,$0.99 ,"$4,113 ",20, 752 ,$36.00 ,1,0,0,"$27,079 ",$22.00 ,$0.88 ,"$9,866 ",30," 1,670 ",$49.50 ,0,0,1,"$82,645 ",$22.60 ,$0.99 ,"$43,260 ",,,
Week,1/4/2017,Th,20," 1,134 ",$30.00 ,1,0,0,"$34,014 ",$12.50 ,$0.94 ,"$18,778 ",30," 1,029 ",$48.00 ,0,0,0,"$49,396 ",$22.00 ,$0.92 ,"$25,804 ",10," 1,133 ",$41.25 ,1,0,0,"$46,751 ",$22.60 ,$0.94 ,"$20,075 ",,,
Price,1/5/2017,F,30," 1,023 ",$30.00 ,1,0,0,"$30,690 ",$12.50 ,$0.92 ,"$16,957 ",10, 436 ,$43.20 ,0,0,1,"$18,847 ",$22.00 ,$0.81 ,"$8,896 ",20," 2,026 ",$41.25 ,1,0,0,"$83,556 ",$22.60 ,$1.02 ,"$35,721 ",,,
,1/6/2017,Sa,10, 326 ,$30.00 ,1,0,0,"$9,779 ",$12.50 ,$0.77 ,"$5,453 ",20, 354 ,$36.00 ,1,0,0,"$12,755 ",$22.00 ,$0.78 ,"$4,683 ",30," 5,441 ",$22.00 ,0,1,0,"$119,693 ",$22.60 ,$1.15 ,"($9,504)",,,
,1/7/2017,Su,20," 1,383 ",$30.00 ,1,0,0,"$41,492 ",$12.50 ,$0.96 ,"$22,870 ",30," 1,217 ",$48.00 ,0,0,0,"$58,393 ",$22.00 ,$0.95 ,"$30,478 ",10," 1,271 ",$49.50 ,0,0,1,"$62,912 ",$22.60 ,$0.95 ,"$32,977 ",,,
Elasticity,1/8/2017,M,30," 3,613 ",$16.00 ,0,1,0,"$57,810 ",$12.50 ,$1.09 ,"$8,699 ",10, 715 ,$36.00 ,1,0,0,"$25,757 ",$22.00 ,$0.88 ,"$9,390 ",20," 1,253 ",$55.00 ,0,0,0,"$68,924 ",$22.60 ,$0.95 ,"$39,411 ",,,
,1/9/2017,T,10, 192 ,$40.00 ,0,0,0,"$7,697 ",$12.50 ,$0.70 ,"$5,157 ",20, 299 ,$43.20 ,0,0,1,"$12,907 ",$22.00 ,$0.76 ,"$6,107 ",30," 3,678 ",$22.00 ,0,1,0,"$80,905 ",$22.60 ,$1.09 ,"($6,232)",,,
